               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025995,             0.01297,           0.0025616,             0.95819,             0.95107,             0.97803,             0.78913,            0.016801,            0.004306,          0.00051296,            0.006535,            0.006535,            0.006535
                  37,              0.0262,            0.013035,           0.0026504,             0.95474,             0.95411,               0.977,             0.80081,            0.016398,           0.0042853,          0.00043394,            0.006436,            0.006436,            0.006436
                  38,             0.02599,            0.013015,           0.0028275,             0.96913,             0.95461,             0.97779,             0.80399,             0.01633,           0.0042464,          0.00043882,            0.006337,            0.006337,            0.006337
                  39,            0.025646,            0.012849,           0.0026444,             0.96615,             0.94877,             0.97724,             0.79708,            0.016253,           0.0042716,          0.00039729,            0.006238,            0.006238,            0.006238
                  40,            0.025602,            0.012946,           0.0024462,             0.96156,             0.95985,             0.97783,             0.80379,            0.016192,           0.0042067,          0.00037562,            0.006139,            0.006139,            0.006139
                  41,            0.025188,            0.012738,           0.0025456,              0.9648,             0.95797,             0.97832,             0.80956,            0.016123,           0.0041761,          0.00036026,             0.00604,             0.00604,             0.00604
                  42,            0.025126,            0.012756,           0.0022054,             0.96463,             0.95837,             0.98023,             0.80492,            0.016131,           0.0042012,          0.00035581,            0.005941,            0.005941,            0.005941
                  43,            0.024856,            0.012543,           0.0026043,             0.97094,             0.95735,              0.9822,             0.80587,            0.015978,           0.0041399,            0.000357,            0.005842,            0.005842,            0.005842
                  44,            0.025295,            0.012629,           0.0023939,             0.96936,             0.95885,             0.98191,             0.80854,            0.015806,           0.0041413,          0.00035608,            0.005743,            0.005743,            0.005743
                  45,            0.025252,            0.012647,           0.0023581,               0.968,             0.95663,             0.98132,             0.80616,            0.015771,           0.0041062,          0.00037581,            0.005644,            0.005644,            0.005644
                  46,            0.024796,            0.012609,           0.0024898,             0.96587,             0.95898,             0.98138,             0.80969,            0.015632,           0.0040916,          0.00035851,            0.005545,            0.005545,            0.005545
                  47,            0.024481,            0.012442,           0.0022485,             0.96433,             0.96156,              0.9823,             0.81093,            0.015525,           0.0040954,          0.00030332,            0.005446,            0.005446,            0.005446
                  48,            0.024709,            0.012265,           0.0023044,             0.96561,             0.96287,             0.98262,             0.81295,             0.01564,           0.0040602,          0.00029985,            0.005347,            0.005347,            0.005347
