                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73704,                0.63327,                  1.214,                0.97636,                0.93942,                0.97472,                0.86184,                0.61075,                0.39422,                 1.0891,               0.006634,               0.006634,               0.006634
                     37,                0.73131,                0.63382,                 1.2126,                0.97063,                0.94246,                0.97517,                0.85884,                0.60923,                0.39306,                 1.0867,               0.006535,               0.006535,               0.006535
                     38,                 0.7276,                0.62554,                 1.2071,                0.97878,                0.94297,                0.97556,                0.86166,                0.59589,                0.38449,                 1.0807,               0.006436,               0.006436,               0.006436
                     39,                0.72666,                0.62274,                 1.2059,                0.97137,                0.94889,                0.97558,                0.86612,                0.59582,                0.38103,                 1.0766,               0.006337,               0.006337,               0.006337
                     40,                0.71618,                0.61471,                 1.2028,                 0.9802,                0.94209,                 0.9764,                0.86656,                0.58875,                0.37251,                 1.0721,               0.006238,               0.006238,               0.006238
                     41,                0.71382,                0.60936,                 1.1991,                 0.9744,                0.95457,                0.97852,                 0.8687,                0.58628,                0.36497,                  1.069,               0.006139,               0.006139,               0.006139
                     42,                0.71196,                  0.604,                 1.2006,                0.97806,                0.95037,                0.97761,                0.87046,                0.58565,                0.36724,                 1.0685,                0.00604,                0.00604,                0.00604
                     43,                0.70539,                0.59678,                  1.191,                0.97942,                0.94432,                0.97763,                0.87151,                0.58007,                0.36922,                 1.0636,               0.005941,               0.005941,               0.005941
                     44,                0.70535,                0.59327,                 1.1907,                 0.9796,                 0.9452,                0.97791,                0.87211,                0.58016,                 0.3613,                 1.0656,               0.005842,               0.005842,               0.005842
                     45,                0.69503,                 0.5913,                 1.1842,                0.97324,                0.95454,                 0.9786,                0.87232,                0.57906,                0.35633,                 1.0632,               0.005743,               0.005743,               0.005743
                     46,                0.69973,                0.59099,                 1.1894,                0.97766,                0.95007,                0.97868,                0.87123,                0.58455,                0.36073,                 1.0679,               0.005644,               0.005644,               0.005644
                     47,                0.68969,                0.57606,                 1.1794,                0.97559,                0.95386,                0.97853,                0.87227,                0.57817,                0.35847,                  1.062,               0.005545,               0.005545,               0.005545
                     48,                0.68671,                0.57231,                 1.1759,                0.97858,                0.95513,                0.97896,                0.87557,                0.57657,                0.35436,                 1.0602,               0.005446,               0.005446,               0.005446
                     49,                0.67731,                0.56795,                 1.1706,                0.97698,                0.95323,                 0.9791,                0.87208,                0.57636,                0.35219,                 1.0586,               0.005347,               0.005347,               0.005347
                     50,                0.67712,                0.56179,                 1.1702,                0.97814,                0.95322,                0.98018,                0.87409,                0.57297,                0.35176,                  1.056,               0.005248,               0.005248,               0.005248
                     51,                0.67409,                 0.5601,                 1.1698,                0.97976,                0.95217,                0.98021,                0.87451,                0.57451,                 0.3481,                 1.0595,               0.005149,               0.005149,               0.005149
                     52,                0.67634,                0.55807,                 1.1715,                0.97755,                0.95343,                0.98071,                0.87695,                0.57036,                0.34838,                 1.0546,                0.00505,                0.00505,                0.00505
                     53,                0.66837,                0.54984,                 1.1637,                0.97597,                0.95538,                0.98046,                0.87605,                0.56567,                0.34723,                 1.0476,               0.004951,               0.004951,               0.004951
                     54,                0.66998,                0.54961,                  1.166,                0.97718,                0.95563,                0.98097,                0.87833,                0.56419,                0.34474,                 1.0462,               0.004852,               0.004852,               0.004852
                     55,                0.66267,                0.54348,                  1.161,                0.97924,                0.95465,                0.98057,                0.87752,                 0.5609,                0.34478,                 1.0448,               0.004753,               0.004753,               0.004753
                     56,                0.66021,                0.54096,                 1.1598,                0.97904,                0.95237,                0.98054,                0.87974,                0.55849,                 0.3415,                 1.0436,               0.004654,               0.004654,               0.004654
                     57,                0.66002,                0.53116,                 1.1563,                0.98142,                0.95212,                0.98049,                0.87947,                0.55772,                0.33808,                 1.0423,               0.004555,               0.004555,               0.004555
                     58,                0.65359,                0.53091,                 1.1515,                0.98073,                0.95511,                0.98065,                0.88018,                0.55824,                0.33724,                 1.0415,               0.004456,               0.004456,               0.004456
                     59,                0.65489,                0.52625,                 1.1535,                0.98157,                0.95307,                0.98084,                0.88295,                0.55766,                0.33735,                  1.041,               0.004357,               0.004357,               0.004357
                     60,                0.64836,                0.51799,                 1.1458,                0.98187,                 0.9525,                0.98081,                0.88232,                0.55599,                0.33428,                 1.0387,               0.004258,               0.004258,               0.004258
                     61,                0.64019,                0.51398,                 1.1446,                0.98032,                0.95345,                0.98107,                0.88202,                0.55517,                0.33213,                 1.0368,               0.004159,               0.004159,               0.004159
                     62,                0.63767,                0.50658,                 1.1407,                0.98063,                0.95279,                0.98109,                0.88348,                0.55367,                0.32893,                 1.0366,                0.00406,                0.00406,                0.00406
                     63,                0.64355,                0.50984,                 1.1414,                0.97868,                  0.953,                0.98081,                0.88279,                 0.5518,                0.32831,                 1.0349,               0.003961,               0.003961,               0.003961
                     64,                0.63158,                0.49988,                 1.1346,                0.97396,                0.95813,                0.98102,                0.88307,                0.55071,                0.32649,                 1.0343,               0.003862,               0.003862,               0.003862
                     65,                0.62801,                0.49698,                 1.1321,                0.97424,                0.95854,                0.98102,                 0.8849,                0.55044,                0.32473,                 1.0344,               0.003763,               0.003763,               0.003763
                     66,                0.62908,                0.49824,                 1.1335,                0.97447,                0.95921,                0.98176,                0.88647,                0.54849,                 0.3247,                 1.0319,               0.003664,               0.003664,               0.003664
                     67,                0.62564,                0.49284,                 1.1296,                0.98103,                0.95503,                0.98187,                0.88609,                0.54742,                0.32371,                 1.0308,               0.003565,               0.003565,               0.003565
                     68,                0.62047,                0.48649,                 1.1309,                0.98212,                0.95432,                0.98194,                0.88764,                0.54658,                0.32232,                 1.0298,               0.003466,               0.003466,               0.003466
